2026-07-20 20:58:33,828 | INFO | ai_ecosystem.config.settings | NUPUR32 AI OS v2035.0.0 initialized (development)
2026-07-20 20:58:33,828 | INFO | ai_ecosystem.orchestrator | NUPUR32 AI OS Orchestrator initialized
2026-07-20 20:59:00,650 | INFO | ai_ecosystem.config.settings | NUPUR32 AI OS v2035.0.0 initialized (development)
2026-07-20 20:59:00,651 | INFO | ai_ecosystem.orchestrator | NUPUR32 AI OS Orchestrator initialized
2026-07-20 20:59:00,678 | INFO | ai_ecosystem.monitoring.monitor | SystemMonitor initialized
2026-07-20 20:59:58,485 | INFO | ai_ecosystem.config.settings | NUPUR32 AI OS v2035.0.0 initialized (development)
2026-07-20 20:59:58,486 | INFO | ai_ecosystem.orchestrator | NUPUR32 AI OS Orchestrator initialized
2026-07-20 20:59:58,488 | INFO | ai_ecosystem.monitoring.monitor | SystemMonitor initialized
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.orchestrator | Initializing NUPUR32 AI Ecosystem...
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.orchestrator | Initializing core infrastructure...
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.orchestrator | Core infrastructure initialized
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.orchestrator | Initializing model registry...
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.config.model_config | Registered 11 default models
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.orchestrator | Registered 11 models
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.core.service_discovery | Registered service: EventBus (core) as d0eabadb-0b85-43f6-9904-d24f01d35969
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.core.service_discovery | Registered service: MemoryManager (memory) as 03975beb-a113-4375-b3ad-422856e87411
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.core.service_discovery | Registered service: KnowledgeBase (knowledge) as cda58fa1-697d-4e27-b41b-406876cffebf
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.core.service_discovery | Registered service: ReasoningEngine (reasoning) as 6a591826-afc1-4e7d-84cc-08c3ab77c049
2026-07-20 20:59:58,490 | INFO | ai_ecosystem.orchestrator | Initializing memory system...
2026-07-20 21:03:53,863 | INFO | ai_ecosystem.config.settings | NUPUR32 AI OS v2035.0.0 initialized (development)
2026-07-20 21:03:53,863 | INFO | ai_ecosystem.orchestrator | NUPUR32 AI OS Orchestrator initialized
2026-07-20 21:03:53,865 | INFO | ai_ecosystem.monitoring.monitor | SystemMonitor initialized
2026-07-20 21:03:53,866 | INFO | ai_ecosystem.orchestrator | Initializing NUPUR32 AI Ecosystem...
2026-07-20 21:03:53,866 | INFO | ai_ecosystem.orchestrator | Initializing core infrastructure...
2026-07-20 21:03:53,866 | INFO | ai_ecosystem.orchestrator | Core infrastructure initialized
2026-07-20 21:03:53,866 | INFO | ai_ecosystem.orchestrator | Initializing model registry...
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.config.model_config | Registered 11 default models
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.orchestrator | Registered 11 models
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.core.service_discovery | Registered service: EventBus (core) as 528b5c6e-5f81-48bd-9203-10bf90ad9920
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.core.service_discovery | Registered service: MemoryManager (memory) as fda70384-f226-4fe6-9b19-4a71d939d685
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.core.service_discovery | Registered service: KnowledgeBase (knowledge) as 28512770-ffd7-4e32-9448-70b6154b3b28
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.core.service_discovery | Registered service: ReasoningEngine (reasoning) as 105ea322-8b35-4ed1-bc7a-9b2b9bc4e226
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.orchestrator | Initializing memory system...
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.orchestrator | Memory system initialized
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.orchestrator | Initializing knowledge system...
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.orchestrator | Knowledge system initialized
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.orchestrator | Initializing agent ecosystem...
2026-07-20 21:03:53,867 | ERROR | ai_ecosystem.agents.agent_factory | Failed to create agent for ceo: CEOAgent.__init__() got an unexpected keyword argument 'role'
2026-07-20 21:03:53,867 | INFO | ai_ecosystem.agents.base_agent | Agent created: ProjectManager-Agent (project_manager)
